日期,m值,沪深300收盘指数
2006-09-08,-0.1454,1332.1500
2006-09-11,0.0246,1338.7600
2006-09-12,0.2495,1347.6400
2006-09-13,0.3573,1338.3900
2006-09-14,0.1607,1338.2800
2006-09-15,0.6208,1362.3200
2006-09-18,0.5569,1375.5600
2006-09-19,0.3433,1378.3100
2006-09-20,0.2484,1378.4600
2006-09-21,0.2354,1387.3700
2006-09-22,0.0248,1374.8500
2006-09-25,-0.3256,1372.4000
2006-09-26,-0.2665,1357.6500
2006-09-27,-0.0497,1371.1200
2006-09-28,0.3368,1387.0000
2006-09-29,0.7129,1403.2700
2006-10-09,0.7494,1436.0700
2006-10-10,0.5821,1437.2400
2006-10-11,0.3050,1435.9100
2006-10-12,-0.0386,1426.5000
2006-10-13,-0.2301,1430.8800
2006-10-16,-0.1629,1418.5200
2006-10-17,-0.1673,1414.4500
2006-10-18,0.1855,1437.5900
2006-10-19,0.2036,1439.3800
2006-10-20,0.2038,1440.1800
2006-10-23,-0.3348,1408.7100
2006-10-24,0.1142,1440.0500
2006-10-25,0.4119,1446.8200
2006-10-26,0.5590,1456.0900
2006-10-27,0.2169,1439.0500
2006-10-30,0.1043,1446.2400
2006-10-31,0.5831,1464.4700
2006-11-01,0.8959,1479.4100
2006-11-02,0.7721,1479.6600
2006-11-03,0.7471,1488.2900
2006-11-06,0.8746,1507.8900
2006-11-07,0.6663,1516.1000
2006-11-08,0.1718,1498.1700
2006-11-09,0.3851,1524.7100
2006-11-10,0.1412,1504.0600
2006-11-13,-0.2155,1475.7800
2006-11-14,0.1238,1493.7800
2006-11-15,0.7047,1534.7600
2006-11-16,0.8899,1533.2900
2006-11-17,0.8256,1562.0800
2006-11-20,0.9774,1593.1600
2006-11-21,1.0000,1612.2500
2006-11-22,0.9772,1624.0300
2006-11-23,0.9411,1634.9100
2006-11-24,0.9123,1636.5800
2006-11-27,0.8575,1651.8000
2006-11-28,0.7604,1644.0100
2006-11-29,0.9449,1667.1400
2006-11-30,0.9139,1714.3600
2006-12-01,0.7846,1729.2200
2006-12-04,0.7241,1780.7400
2006-12-05,0.5025,1794.2300
2006-12-06,0.4084,1779.4100
2006-12-07,0.3083,1775.7100
2006-12-08,0.0735,1711.5800
2006-12-11,0.7004,1789.9200
2006-12-12,0.6682,1802.7900
2006-12-13,0.5992,1803.8600
2006-12-14,0.8895,1836.1400
2006-12-15,0.8402,1867.6400
2006-12-18,0.6571,1916.1100
2006-12-19,0.5404,1921.4400
2006-12-20,0.3927,1936.5500
2006-12-21,0.3284,1908.9800
2006-12-22,0.2408,1895.6400
2006-12-25,0.5220,1939.1000
2006-12-26,0.7418,1938.2400
2006-12-27,0.8662,1982.8800
2006-12-28,0.7946,1979.9300
2006-12-29,0.8318,2041.0500
2007-01-04,0.8804,2067.0900
